"unique_id","date"
"nyt_ec_news68549","1993-07-04"
"nyt_ec_news68550","1993-07-04"
"nyt_ec_news68551","1993-07-04"
"nyt_ec_news68552","1993-07-04"
"nyt_ec_news68553","1993-07-04"
"nyt_ec_news68554","1993-07-04"
"nyt_ec_news68555","1993-07-04"
"nyt_ec_news68556","1993-07-04"
"nyt_ec_news68557","1993-07-04"
"nyt_ec_news68558","1993-07-04"
"nyt_ec_news68524","1993-07-05"
"nyt_ec_news68525","1993-07-05"
"nyt_ec_news68526","1993-07-05"
"nyt_ec_news68527","1993-07-05"
"nyt_ec_news68528","1993-07-05"
"nyt_ec_news68529","1993-07-05"
"nyt_ec_news68530","1993-07-05"
"nyt_ec_news68531","1993-07-05"
"nyt_ec_news68532","1993-07-05"
"nyt_ec_news68533","1993-07-05"
"nyt_ec_news68534","1993-07-05"
"nyt_ec_news68513","1993-07-06"
"nyt_ec_news68514","1993-07-06"
"nyt_ec_news68515","1993-07-06"
"nyt_ec_news68516","1993-07-06"
"nyt_ec_news68517","1993-07-06"
"nyt_ec_news68518","1993-07-06"
"nyt_ec_news68519","1993-07-06"
"nyt_ec_news68520","1993-07-06"
"nyt_ec_news68521","1993-07-06"
"nyt_ec_news68522","1993-07-06"
"nyt_ec_news68523","1993-07-06"
"nyt_ec_news68496","1993-07-07"
"nyt_ec_news68497","1993-07-07"
"nyt_ec_news68498","1993-07-07"
"nyt_ec_news68499","1993-07-07"
"nyt_ec_news68500","1993-07-07"
"nyt_ec_news68501","1993-07-07"
"nyt_ec_news68502","1993-07-07"
"nyt_ec_news68503","1993-07-07"
"nyt_ec_news68504","1993-07-07"
"nyt_ec_news68505","1993-07-07"
"nyt_ec_news68506","1993-07-07"
"nyt_ec_news68507","1993-07-07"
"nyt_ec_news68508","1993-07-07"
"nyt_ec_news68509","1993-07-07"
"nyt_ec_news68510","1993-07-07"
"nyt_ec_news68511","1993-07-07"
"nyt_ec_news68512","1993-07-07"
"nyt_ec_news68667","1993-07-08"
"nyt_ec_news68668","1993-07-08"
"nyt_ec_news68669","1993-07-08"
"nyt_ec_news68670","1993-07-08"
"nyt_ec_news68671","1993-07-08"
"nyt_ec_news68672","1993-07-08"
"nyt_ec_news68673","1993-07-08"
"nyt_ec_news68674","1993-07-08"
"nyt_ec_news68675","1993-07-08"
"nyt_ec_news68676","1993-07-08"
"nyt_ec_news68677","1993-07-08"
"nyt_ec_news68654","1993-07-09"
"nyt_ec_news68655","1993-07-09"
"nyt_ec_news68656","1993-07-09"
"nyt_ec_news68657","1993-07-09"
"nyt_ec_news68658","1993-07-09"
"nyt_ec_news68659","1993-07-09"
"nyt_ec_news68660","1993-07-09"
"nyt_ec_news68661","1993-07-09"
"nyt_ec_news68662","1993-07-09"
"nyt_ec_news68663","1993-07-09"
"nyt_ec_news68664","1993-07-09"
"nyt_ec_news68665","1993-07-09"
"nyt_ec_news68666","1993-07-09"
"nyt_ec_news68641","1993-07-10"
"nyt_ec_news68642","1993-07-10"
"nyt_ec_news68643","1993-07-10"
"nyt_ec_news68644","1993-07-10"
"nyt_ec_news68645","1993-07-10"
"nyt_ec_news68646","1993-07-10"
"nyt_ec_news68647","1993-07-10"
"nyt_ec_news68648","1993-07-10"
"nyt_ec_news68649","1993-07-10"
"nyt_ec_news68650","1993-07-10"
"nyt_ec_news68651","1993-07-10"
"nyt_ec_news68652","1993-07-10"
"nyt_ec_news68653","1993-07-10"
"nyt_ec_news68623","1993-07-11"
"nyt_ec_news68624","1993-07-11"
"nyt_ec_news68625","1993-07-11"
"nyt_ec_news68626","1993-07-11"
"nyt_ec_news68627","1993-07-11"
"nyt_ec_news68628","1993-07-11"
"nyt_ec_news68629","1993-07-11"
"nyt_ec_news68630","1993-07-11"
"nyt_ec_news68631","1993-07-11"
"nyt_ec_news68632","1993-07-11"
"nyt_ec_news68633","1993-07-11"
"nyt_ec_news68634","1993-07-11"
"nyt_ec_news68635","1993-07-11"
"nyt_ec_news68636","1993-07-11"
"nyt_ec_news68637","1993-07-11"
"nyt_ec_news68638","1993-07-11"
